2025-01-30 11:16:36,082 - INFO - Starting Telegram Scraper
2025-01-30 11:16:36,087 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2025-01-30 11:16:40,105 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2025-01-30 11:16:51,709 - INFO - Phone migrated to 4
2025-01-30 11:16:51,834 - INFO - Reconnecting to new data center 4
2025-01-30 11:16:51,976 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2025-01-30 11:16:51,977 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2025-01-30 11:16:51,978 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2025-01-30 11:16:53,584 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2025-01-30 11:23:39,842 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:40,386 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:41,148 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:42,086 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:44,008 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:48,572 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:50,314 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:52,374 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:52,950 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:53,704 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:54,228 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:54,406 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:54,584 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:55,762 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:57,102 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:23:58,782 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:02,782 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:04,102 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:05,391 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:05,693 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:06,203 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:06,876 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:07,082 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:07,385 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:07,698 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:08,089 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:08,417 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:08,615 - INFO - Scraped 100 messages from Lobelia4cosmetics
2025-01-30 11:24:09,112 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:10,271 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:10,965 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:14,391 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:20,429 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:24,914 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:26,498 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:27,203 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:27,735 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:30,114 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:33,054 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:34,605 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:43,796 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:45,640 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:49,003 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:50,239 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:51,974 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:53,666 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:54,951 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:55,858 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:56,705 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:57,531 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:58,539 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:24:59,710 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:01,335 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:02,120 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:03,367 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:03,906 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:04,689 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:05,383 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:06,351 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:07,151 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:08,170 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:09,046 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:09,790 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:10,314 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:11,773 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:12,285 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:13,154 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:13,836 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:14,633 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:15,713 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:17,129 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:18,266 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:19,316 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:20,162 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:21,388 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
